month,days_with_any_valid_pixel,usable_days
2019-10,20,13
2019-11,26,22
2019-12,25,19
2020-01,30,25
2020-02,27,26
2020-03,30,29
2020-04,30,30
2020-05,31,28
2020-10,19,13
2020-11,28,22
2020-12,28,25
2021-01,27,24
2021-02,28,27
2021-03,31,30
2021-04,27,25
2021-05,21,18
2021-10,29,25
2021-11,20,17
2021-12,25,21
2022-01,30,27
2022-02,28,28
2022-03,31,31
2022-04,30,26
2022-05,28,24
2022-10,21,16
2022-11,28,27
2022-12,28,26
2023-01,30,29
2023-02,28,28
2023-03,30,27
2023-04,28,23
2023-05,27,23
2023-10,27,20
2023-11,26,21
2023-12,30,26
2024-01,29,27
2024-02,29,28
2024-03,30,28
2024-04,29,26
2024-05,29,28
